island_id,area_id,spot_id,item_name,map_x,map_y,capture_cost,drop_item_id,spot_buff_target,spot_buff_type,spot_buff_value,spot_buff_desc (UI表示用)
1000,11,11101,マゼランの木製十字架,,,15,111011,FAITH_REGEN,regen,20,【信仰の源泉】占領中、毎ターン信仰心(スタミナ)回復+20
1000,11,11201,サンゴ石のレンガ,320,480,20,112011,DEF,add_percent,30,【鉄壁の守り】占領中、基本防御力(DEF)+30%
1000,11,11202,新鮮なトロピカルフルーツ,350,500,15,112021,DROP_RATE,add_percent,50,【流通の要所】占領中、アイテムドロップ率+50%
1000,11,11203,老舗のバナナキュー,,,15,112031,FAITH_REGEN,regen,10,【最古の通り】占領中、毎ターン信仰心回復+10
1000,11,11204,港湾フェリー乗船券,,,30,112041,SAIL,special,14101,【海路】南部ジンベエザメエリア(14101)へ船で移動する
1000,11,11301,夜明けのエナジードリンク,,,10,113011,MAX_AP,max_up,20,【近代化の波】占領中、最大スタミナ上限+20
1000,11,11401,シラオのケイトウの花,,,15,114011,DEF,add_percent,20,【魅惑の花畑】敵の侵攻を阻み防御力+20%
1000,11,11402,大理石の女神像,,,20,114021,MAX_HP,max_up,50,【愛の神殿】占領中、最大HP上限+50
1000,11,11403,占いの赤い木札,,,30,114031,FAITH_REGEN,regen,15,【静寂の祈り】精神を統一し毎ターンのスタミナ回復+15
1000,11,11501,ライチヤクルト,,,20,115011,MAX_HP,max_up,,
1000,12,12101,VIP搭乗チケット,850,150,40,121011,WARP,special,13101,【空路】北部ダナサン(13101)へ一瞬でワープする
1000,12,12102,英雄のカンピラン（剣）,,,25,121021,ATK,add_percent,30,【英雄の地】歴史上の英雄の力が宿り攻撃力+30%
1000,12,12103,鉄壁のガレオン船模型,,,20,121031,DEF,add_percent,10,【大航海時代】強固な船の守り。防御力+10%
1000,12,12104,高級ヴァージンココナッツオイル,,,15,121041,MAX_HP,max_up,30,【加護】肌と体を守る。最大HP+30
1000,12,12105,マクタン・ハンドメイドギター,,,10,121051,ATK,add_percent,20,【士気高揚】奏でる音色で攻撃力+20%
1000,12,12106,光り輝くクリスタルローズ,,,10,121061,DROP_RATE,add_percent,30,【幻想的な光】運を呼び寄せる。ドロップ率+30%
1000,12,12107,マングローブの根の杖,,,15,121071,MAX_AP,max_up,15,【自然の力】過酷な環境を歩く。最大AP+15
1000,12,12201,ビジネスライセンス更新,,,40,122011,HP_REGEN,regen,,
1000,13,13101,エクストリーム・ロープ,,,20,131011,MAX_AP,max_up,25,【アクティビティ】体力を鍛え上げ最大AP+25
1000,13,13201,濃厚サトウキビジュース,,,10,132011,MAX_AP,max_up,10,【甘い誘惑】糖分補給で最大AP+10
1000,14,14101,ジンベエザメのぬいぐるみ,,,30,141011,MAX_HP,max_up,40,【巨獣の威圧】圧倒的な存在感で最大HP+40
1000,14,14102,神秘の湧き水,,,25,141021,HP_REGEN,regen,15,【神秘の冷泉】清らかな水で毎ターンHP回復+15
1000,14,14103,竹のイカダ模型,,,15,141031,ATK,add_percent,25,【飛び込みの名所】勢いをつけて攻撃力+25%
1000,14,14104,イワシの群れの銀鱗,,,20,141041,DEF,add_percent,25,【イワシトルネード】群れの動きで防御力+25%
1000,14,14201,絶品特製チチャロン,,,15,142011,HP_REGEN,regen,5,【絶品レチョン】行動するたびにHPが微回復(+5)
1000,14,14202,奇跡の祈りキャンドル,,,30,142021,DEF,add_percent,40,【奇跡の城】信仰の守護により防御力+40%
1000,14,14203,登山家のトレッキングポール,,,20,142031,ATK,add_percent,15,【最高峰の頂】高所からの地の利で攻撃力+15%
